"Year";"Month";"Alliz_Maso_Strimo_Osservatore";"Andalo";"Anterivo_Osservatore";"Anterselva_di_Mezzo_Osservatore";"Belvedere_sas_bece_";"Bondone_viote";"Braies_Ferrara_Osservatore";"Bronzolo_Osservatore";"Buffaure";"Campiglio_pradalago";"Canazei_ciampac";"Caoria";"Casere_di_Fuori_Osservatore";"Col_verde";"Corona_Cortaccia_Osservatore";"Costalovara_Osservatore";"Diga_di_Gioveretto_Osservatore";"Diga_di_Neves_Osservatore";"Diga_di_Quaira_Osservatore";"Diga_di_Valdaora_Osservatore";"Diga_di_Vizze_Osservatore";"Diga_di_Zoccolo_Osservatore";"Dossioli_pra_alpesina";"Favogna_di_sotto_Osservatore";"Fie_allo_Sciliar_Osservatore";"Fleres_Osservatore";"Folgaria_passo_sommo";"Folgarida_malghet_aut";"Fontana_Bianca";"Fortezza_Osservatore";"Fundres_Osservatore";"Groste_";"La_Villa_in_Badia_Osservatore";"Lago_di_calaita";"Lago_Verde_Osservatore";"Lazfons_Osservatore";"Longiaru_Osservatore";"Lusia";"Luson_Osservatore";"Maia_Alta_Osservatore";"Malga_baessa";"Malga_bissina";"Malga_val_cigolera";"Malga_zugna";"Marmolada";"Masi_lozen";"Mazia_Osservatore";"Melago_Osservatore";"Meltina_Osservatore";"Molini_di_Tures_Osservatore";"Monte_bondone_vason_palon";"Monte_Maria_Osservatore";"Nova_Levante_Osservatore";"Nova_Ponente_Maso_di_sopra_Osservatore";"Ora_Osservatore";"Ortisei_Osservatore";"Paganella";"Pampeago";"Pampeago_monsorno";"Pampeago_tresca";"Panarotta";"Paneveggio";"Passo_brocon_malga_marande";"Passo_durone";"Passo_fedaia";"Passo_rolle";"Passo_san_pellegrino";"Passo_san_valentino";"Passo_tonale_scuola_pat";"Passo_valles";"Pejo_tarlenta";"Pennes_Osservatore";"Pinzolo_grual";"Plata_Osservatore";"Pozza_di_fassa";"Prato_allo_Stelvio_Osservatore";"Predazzo_gardone";"Presena";"Rabbi";"Racines_di_Dentro_Osservatore";"Redagno_Osservatore";"Ridanna_Osservatore";"Rifiano_Beobachter";"Rifugio_trivena";"Roia_di_Fuori_Osservatore";"Rumo";"S_Cassiano_Osservatore";"S_Genesio_Atesino_Osservatore";"S_Leonardo_in_Passiria_Osservatore";"S_Maddalena_in_Casies_Osservatore";"S_Martino_in_Passiria_Osservatore";"S_Pancrazio_Osservatore";"S_Valentino_alla_Muta_Osservatore";"S_Valpurga_d_Ultimo_Osservatore";"S_Vito_di_Braies_Osservatore";"San_Candido_Osservatore";"San_martino_di_castrozza";"San_Martino_Osservatore";"Scena_Osservatore";"Sesto_Osservatore";"Silandro_Convento_Osservatore";"Slingia_Osservatore";"Terento_Osservatore";"Terme_di_Brennero_Osservatore";"Tremalzo";"Trento_citta_";"Val_noana_diga";"Vallarsa_pian_fugazze";"Valles_osservatore";"Valluzza_Osservatore";"Vanga_Osservatore";"Vermiglio";"Vigo_di_fassa_ciampedie";"Villa_welsperg";"Vipiteno_osservatore"
1980;11;3;NA;1;1;NA;NA;2;0;NA;NA;NA;NA;2;NA;1;NA;5;6;1;1;1;1;NA;1;1;NA;NA;NA;8;0;2;NA;6;NA;29;2;4;NA;0;0;NA;20;NA;NA;NA;NA;2;4;1;2;NA;1;NA;4;0;1;28;NA;NA;NA;NA;8;NA;NA;NA;28;NA;NA;21;21;NA;3;NA;1;NA;0;NA;NA;NA;2;5;4;0;NA;4;NA;7;NA;NA;3;0;1;1;NA;1;3;3;2;0;7;0;2;1;0;NA;NA;NA;NA;NA;2;0;NA;NA;NA;0
1980;12;12;19;6;12;56;16;23;0;32;NA;71;10;11;NA;7;NA;22;50;21;27;14;7;NA;7;3;NA;13;NA;22;4;14;NA;29;NA;35;6;28;60;11;1;NA;42;NA;NA;NA;22;12;22;2;9;NA;6;NA;12;19;13;32;41;34;54;NA;33;27;NA;17;43;56;12;39;73;31;19;NA;6;12;2;22;NA;11;17;16;36;1;NA;19;NA;40;NA;NA;23;1;2;6;NA;32;22;8;12;2;25;1;11;9;11;22;NA;18;27;NA;14;4;NA;NA;9;5
1981;1;15;29;10;22;83;16;40;0;45;NA;74;12;14;NA;4;NA;33;64;20;41;35;3;NA;8;3;NA;15;59;23;2;24;58;37;46;35;4;44;73;21;0;19;39;68;NA;NA;27;16;37;0;26;40;9;NA;15;NA;23;44;39;45;67;48;39;37;NA;NA;62;60;15;32;76;47;35;13;7;17;2;48;NA;6;26;20;67;0;NA;29;14;35;NA;NA;40;0;0;19;NA;61;29;9;24;1;30;1;34;16;34;23;NA;32;32;NA;20;5;NA;50;13;3
1981;2;9;20;5;18;70;20;39;0;41;NA;75;1;14;NA;1;NA;28;60;17;31;27;0;NA;3;1;NA;11;46;20;0;25;50;28;37;31;0;34;62;13;0;14;32;54;NA;NA;5;1;32;0;24;42;6;NA;11;0;17;32;34;41;59;43;33;30;NA;NA;43;51;3;22;73;43;31;23;1;17;1;49;NA;1;22;15;74;0;29;21;10;29;NA;NA;38;0;0;12;NA;38;25;1;21;0;27;0;30;11;44;24;NA;17;30;NA;11;2;NA;42;11;0
1981;3;8;12;8;9;71;16;32;0;40;NA;92;6;8;NA;2;NA;28;47;20;12;14;6;NA;12;1;NA;5;44;31;0;11;55;21;59;34;2;27;62;3;0;13;34;57;NA;NA;8;2;31;5;6;45;2;NA;20;0;6;48;29;36;62;41;20;25;NA;NA;59;44;4;29;75;35;51;12;2;13;1;20;NA;5;33;24;56;0;38;21;10;14;NA;NA;20;0;4;10;NA;18;19;9;28;0;16;0;9;4;39;34;NA;10;24;NA;9;1;NA;43;13;0
1981;4;0;NA;0;0;NA;4;3;0;NA;NA;NA;NA;1;NA;0;NA;9;3;16;0;1;0;NA;0;0;NA;NA;NA;12;0;1;NA;2;NA;24;0;4;NA;0;0;NA;13;NA;NA;NA;NA;0;4;0;0;NA;0;NA;1;0;1;18;14;NA;NA;19;3;11;NA;NA;18;NA;NA;10;11;NA;7;NA;0;4;0;NA;NA;0;2;3;1;0;NA;4;NA;1;NA;NA;0;0;0;0;NA;1;1;0;2;0;0;0;1;0;6;NA;NA;1;NA;NA;1;0;NA;NA;NA;0
1981;5;0;NA;0;0;NA;NA;0;0;NA;NA;NA;NA;0;NA;0;NA;1;1;2;0;0;0;NA;0;0;NA;NA;NA;1;0;0;NA;0;NA;11;1;1;NA;0;0;NA;3;NA;NA;NA;NA;0;1;0;0;NA;0;NA;0;0;0;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;87;NA;1;NA;0;NA;0;NA;NA;NA;0;1;1;0;NA;0;NA;1;NA;NA;0;0;0;0;NA;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;1;0;NA;NA;NA;0
1981;6;0;NA;0;0;NA;NA;0;0;NA;NA;NA;NA;0;NA;0;NA;0;0;0;0;0;0;NA;0;0;NA;NA;NA;0;0;0;NA;0;NA;2;0;0;NA;0;0;NA;NA;NA;NA;NA;NA;0;0;0;0;NA;0;NA;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;0;NA;0;NA;0;NA;NA;NA;0;0;0;0;NA;0;NA;0;NA;NA;0;0;0;0;NA;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;0;0;NA;NA;NA;0
1981;7;0;NA;0;0;NA;NA;0;0;NA;NA;NA;NA;0;NA;0;NA;0;0;0;0;0;0;NA;0;0;NA;NA;NA;0;0;0;NA;0;NA;0;0;0;NA;0;0;NA;NA;NA;NA;NA;NA;0;0;0;0;NA;0;NA;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;0;NA;0;NA;0;NA;NA;NA;0;0;0;0;NA;0;NA;0;NA;NA;0;0;0;0;NA;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;0;0;NA;NA;NA;0
1981;8;0;NA;0;0;NA;NA;0;0;NA;NA;NA;NA;0;NA;0;NA;0;0;0;0;0;0;NA;0;0;NA;NA;NA;0;0;0;NA;0;NA;0;0;0;NA;0;0;NA;NA;NA;NA;NA;NA;0;0;0;0;NA;0;NA;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;0;NA;0;NA;0;NA;NA;NA;0;0;0;0;NA;0;NA;0;NA;NA;0;0;0;0;NA;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;0;0;NA;NA;NA;0
1981;9;0;NA;0;0;NA;NA;0;0;NA;NA;NA;NA;0;NA;0;NA;0;0;1;0;0;0;NA;0;0;NA;NA;NA;0;0;0;NA;0;NA;3;0;0;NA;0;0;NA;0;NA;NA;NA;NA;0;0;0;0;NA;0;NA;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;0;NA;0;NA;0;NA;NA;NA;0;0;0;0;NA;0;NA;0;NA;NA;0;0;0;0;NA;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;0;0;NA;NA;NA;0
1981;10;11;NA;6;4;NA;NA;4;0;NA;NA;NA;NA;5;NA;1;NA;17;6;19;1;6;3;NA;2;0;NA;NA;NA;18;0;1;NA;9;NA;19;1;9;NA;0;0;NA;7;NA;NA;NA;NA;8;17;3;0;NA;5;NA;23;0;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;61;NA;8;NA;0;NA;0;NA;NA;NA;8;15;15;0;NA;18;NA;10;NA;NA;3;0;0;4;NA;2;0;8;7;0;2;1;7;2;13;NA;NA;NA;NA;NA;8;0;NA;NA;NA;0
1981;11;7;17;1;1;NA;7;1;0;NA;NA;NA;NA;5;NA;0;NA;19;11;30;0;5;1;NA;0;0;NA;NA;NA;29;0;1;NA;6;NA;16;0;6;NA;0;0;NA;21;NA;NA;NA;NA;2;16;0;1;NA;2;NA;5;0;0;43;NA;NA;NA;NA;6;NA;NA;NA;58;NA;3;25;59;NA;13;NA;1;4;0;NA;NA;1;6;6;32;0;NA;10;NA;25;NA;NA;2;0;0;4;NA;0;1;4;4;0;3;0;4;2;29;33;NA;NA;NA;NA;2;0;NA;NA;NA;0
1981;12;27;30;12;14;96;21;26;3;40;NA;66;22;23;NA;12;NA;47;63;32;20;33;15;NA;13;5;NA;NA;NA;37;4;22;NA;29;NA;18;9;29;65;11;4;NA;47;NA;NA;NA;NA;21;54;12;21;NA;22;NA;18;16;8;57;39;39;64;NA;20;34;NA;NA;67;60;25;69;74;51;29;NA;22;22;6;24;NA;14;32;22;83;3;NA;45;NA;41;NA;NA;22;7;12;27;NA;21;22;28;26;4;29;3;36;11;49;58;NA;32;NA;NA;14;6;NA;NA;10;11
1982;1;42;46;22;23;122;48;45;5;67;NA;108;42;32;NA;17;NA;77;119;54;25;55;29;NA;30;7;NA;32;121;59;4;40;116;47;67;32;19;53;113;15;5;35;110;102;NA;NA;36;32;88;16;30;71;38;NA;34;NA;30;120;59;70;106;98;40;63;NA;33;141;98;46;95;109;77;86;76;40;31;15;64;NA;38;63;34;101;1;NA;87;33;49;NA;NA;30;13;23;53;NA;28;35;58;52;3;31;4;73;20;66;97;NA;50;54;NA;20;15;NA;77;19;15
1982;2;37;44;15;26;109;39;62;0;67;NA;96;30;30;NA;6;NA;60;113;42;34;59;10;NA;13;2;NA;34;108;47;1;49;94;50;61;26;13;55;98;17;0;32;99;98;NA;NA;25;22;90;2;31;76;43;NA;27;0;24;113;63;66;96;93;37;39;NA;13;133;89;49;50;105;65;69;71;15;38;4;73;NA;31;50;32;94;0;79;97;39;52;NA;NA;43;0;6;40;NA;33;42;54;46;1;33;1;67;17;76;101;NA;47;56;NA;24;6;NA;75;19;4
1982;3;33;47;13;27;152;69;89;0;91;NA;132;19;26;NA;2;NA;77;106;53;37;48;3;NA;12;2;NA;52;145;62;0;43;134;46;76;31;2;64;130;4;0;37;135;129;NA;NA;27;11;112;2;26;108;35;NA;25;0;4;132;64;80;136;144;37;55;NA;NA;138;113;56;99;130;84;69;90;1;49;1;88;NA;15;45;29;81;0;134;95;23;57;NA;NA;37;0;1;29;NA;31;43;62;39;1;43;0;61;7;63;118;NA;43;84;NA;34;2;NA;90;16;0
1982;4;4;NA;0;0;NA;17;2;0;NA;NA;NA;NA;3;NA;0;NA;33;35;23;0;4;0;NA;0;0;NA;9;NA;35;0;2;NA;3;NA;14;0;6;NA;0;0;NA;87;NA;NA;NA;NA;0;44;0;0;NA;3;NA;1;0;0;88;18;NA;NA;107;4;9;NA;NA;84;NA;3;44;102;NA;12;NA;0;5;0;NA;NA;0;5;2;24;0;NA;29;NA;5;NA;NA;1;0;0;2;NA;1;1;14;5;0;5;0;6;1;32;82;NA;1;NA;NA;2;0;NA;NA;NA;0
1982;5;0;NA;0;0;NA;NA;0;0;NA;NA;NA;NA;0;NA;0;NA;0;1;8;0;0;0;NA;0;0;NA;NA;NA;2;0;0;NA;0;NA;6;0;0;NA;0;0;NA;141;NA;NA;NA;NA;0;2;0;0;NA;0;NA;0;0;0;53;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;13;NA;0;NA;0;NA;0;NA;NA;NA;0;0;0;0;NA;3;NA;0;NA;NA;0;0;0;0;NA;0;0;0;0;0;0;0;1;0;0;NA;NA;NA;NA;NA;0;0;NA;NA;NA;0
1982;6;0;NA;0;0;NA;NA;0;0;NA;NA;NA;NA;0;NA;0;NA;0;0;0;0;0;0;NA;0;0;NA;NA;NA;0;0;0;NA;0;NA;0;0;0;NA;0;0;NA;NA;NA;NA;NA;NA;0;0;0;0;NA;0;NA;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;0;NA;0;NA;0;NA;NA;NA;0;0;0;0;NA;0;NA;0;NA;NA;0;0;0;0;NA;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;0;0;NA;NA;NA;0
1982;7;0;NA;0;0;NA;NA;0;0;NA;NA;NA;NA;0;NA;0;NA;0;0;0;0;0;0;NA;0;0;NA;NA;NA;0;0;0;NA;0;NA;0;0;0;NA;0;0;NA;NA;NA;NA;NA;NA;0;0;0;0;NA;0;NA;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;0;NA;0;NA;0;NA;NA;NA;0;0;0;0;NA;0;NA;0;NA;NA;0;0;0;0;NA;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;0;0;NA;NA;NA;0
1982;8;0;NA;0;0;NA;NA;0;0;NA;NA;NA;NA;0;NA;0;NA;0;0;0;0;0;0;NA;0;0;NA;NA;NA;0;0;0;NA;0;NA;0;0;0;NA;0;0;NA;NA;NA;NA;NA;NA;0;0;0;0;NA;0;NA;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;0;NA;0;NA;0;NA;NA;NA;0;0;0;0;NA;0;NA;0;NA;NA;0;0;0;0;NA;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;0;0;NA;NA;NA;0
1982;9;0;NA;0;0;NA;NA;0;0;NA;NA;NA;NA;0;NA;0;NA;0;0;0;0;0;0;NA;0;0;NA;NA;NA;0;0;0;NA;0;NA;0;0;0;NA;0;0;NA;0;NA;NA;NA;NA;0;0;0;0;NA;0;NA;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;0;NA;0;NA;0;NA;NA;NA;0;0;0;0;NA;0;NA;0;NA;NA;0;0;0;0;NA;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;0;0;NA;NA;NA;0
1982;10;0;NA;0;0;NA;NA;0;0;NA;NA;NA;NA;0;NA;0;NA;0;4;13;0;0;0;NA;0;0;NA;NA;NA;5;0;0;NA;0;NA;21;0;0;NA;0;0;NA;0;NA;NA;NA;NA;0;1;0;0;NA;0;NA;0;0;0;10;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6;NA;0;NA;0;NA;0;NA;NA;NA;0;0;0;0;NA;1;NA;1;NA;NA;0;0;0;0;NA;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;0;0;NA;NA;NA;0
1982;11;1;NA;0;0;NA;NA;0;0;NA;NA;NA;NA;1;NA;0;NA;6;6;24;0;0;0;NA;0;0;NA;NA;NA;9;0;0;NA;0;NA;36;0;0;NA;0;0;NA;5;NA;NA;NA;NA;0;2;0;0;NA;0;NA;0;0;0;22;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;6;7;NA;0;NA;0;NA;0;NA;NA;NA;0;0;1;0;NA;2;NA;0;NA;NA;0;0;0;0;NA;0;0;0;0;0;0;0;1;0;0;NA;NA;NA;NA;NA;0;0;NA;NA;NA;0
1982;12;19;7;3;6;113;19;15;1;35;NA;79;NA;14;NA;5;NA;52;60;73;7;18;8;NA;0;2;NA;NA;NA;45;5;13;NA;13;NA;83;2;12;70;5;2;NA;54;NA;NA;NA;NA;10;34;1;8;NA;12;NA;6;23;6;75;28;40;73;NA;13;16;NA;NA;102;46;NA;63;71;47;14;NA;8;7;2;16;NA;17;13;13;25;1;NA;35;NA;4;NA;NA;9;1;1;22;NA;16;15;8;11;1;9;2;23;6;31;NA;NA;7;NA;NA;8;3;NA;NA;5;1
1983;1;27;2;4;14;62;3;27;0;37;NA;55;1;20;NA;3;NA;45;125;70;19;33;8;NA;0;1;NA;1;76;39;0;36;78;26;33;48;5;33;59;4;0;5;59;56;NA;NA;1;16;52;2;11;34;23;NA;11;NA;19;72;32;40;60;38;21;6;NA;NA;125;52;0;75;79;61;44;20;14;12;3;23;NA;21;36;15;58;0;NA;75;15;10;NA;NA;39;0;2;30;NA;21;20;14;29;0;17;1;46;14;65;9;NA;5;1;NA;17;3;NA;46;6;1
1983;2;29;8;6;17;75;10;43;0;50;NA;68;4;20;NA;2;NA;44;128;73;35;36;2;NA;2;1;NA;12;82;42;1;40;81;40;45;46;2;47;70;4;0;12;69;64;NA;NA;6;18;63;0;20;56;18;NA;16;0;29;72;39;48;72;52;35;14;NA;NA;129;56;11;78;93;62;49;26;8;20;3;37;NA;16;41;22;56;0;56;95;18;27;NA;NA;52;0;0;32;NA;32;31;21;33;0;32;1;54;13;63;18;NA;11;11;NA;26;3;NA;50;11;1
1983;3;15;11;4;6;73;14;23;0;45;NA;76;2;11;NA;1;NA;47;90;65;16;14;3;NA;5;0;NA;30;84;54;0;19;97;21;36;52;1;28;69;0;0;10;98;60;NA;NA;4;3;49;1;2;62;6;NA;10;0;5;102;30;45;76;65;14;19;NA;NA;106;52;18;88;105;63;30;38;1;17;0;22;NA;4;14;13;29;0;62;82;5;9;NA;NA;26;0;1;11;NA;10;17;15;17;0;16;0;15;3;27;38;NA;9;19;NA;10;0;NA;62;6;0
