"Date";"Alliz_Maso_Strimo_Osservatore";"Andalo";"Anterivo_Osservatore";"Anterselva_di_Mezzo_Osservatore";"Ballino_Fiave";"Belvedere_sas_bece_";"Bolzano";"Bondone_viote";"Braies_Ferrara_Osservatore";"Bronzolo_Osservatore";"Buffaure";"Campiglio_pradalago";"Canazei_ciampac";"Caoria";"Casere_di_Fuori_Osservatore";"Col_verde";"Corona_Cortaccia_Osservatore";"Costalovara_Osservatore";"Diga_di_Gioveretto_Osservatore";"Diga_di_Neves_Osservatore";"Diga_di_Quaira_Osservatore";"Diga_di_Valdaora_Osservatore";"Diga_di_Vizze_Osservatore";"Diga_di_Zoccolo_Osservatore";"Dossioli_pra_alpesina";"Favogna_di_sotto_Osservatore";"Fie_allo_Sciliar_Osservatore";"Fleres_Osservatore";"Folgaria_passo_sommo";"Folgarida_malghet_aut";"Fontana_Bianca";"Fortezza_Osservatore";"Fundres_Osservatore";"Groste_";"La_Villa_in_Badia_Osservatore";"Lago_di_calaita";"Lago_Verde_Osservatore";"Lazfons_Osservatore";"Longiaru_Osservatore";"Lusia";"Luson_Osservatore";"Maia_Alta_Osservatore";"Malga_baessa";"Malga_bissina";"Malga_val_cigolera";"Malga_zugna";"Marmolada";"Masi_lozen";"Mazia_Osservatore";"Melago_Osservatore";"Meltina_Osservatore";"Molini_di_Tures_Osservatore";"Monte_bondone_vason_palon";"Monte_Maria_Osservatore";"Mori";"Nova_Levante_Osservatore";"Nova_Ponente_Maso_di_sopra_Osservatore";"Ora_Osservatore";"Ortisei_Osservatore";"Paganella";"Pampeago";"Pampeago_monsorno";"Pampeago_tresca";"Panarotta";"Paneveggio";"Passo_brocon_malga_marande";"Passo_durone";"Passo_fedaia";"Passo_rolle";"Passo_san_pellegrino";"Passo_san_valentino";"Passo_tonale_scuola_pat";"Passo_valles";"Pejo_tarlenta";"Pennes_Osservatore";"Pinzolo_grual";"Plata_Osservatore";"Pozza_di_fassa";"Prato_allo_Stelvio_Osservatore";"Predazzo_gardone";"Presena";"Rabbi";"Racines_di_Dentro_Osservatore";"Redagno_Osservatore";"Ridanna_Osservatore";"Rifiano_Beobachter";"Rifugio_trivena";"Riva_del_Garda";"Roia_di_Fuori_Osservatore";"Rovereto";"Rumo";"S_Cassiano_Osservatore";"S_Genesio_Atesino_Osservatore";"S_Leonardo_in_Passiria_Osservatore";"S_Maddalena_in_Casies_Osservatore";"S_Martino_in_Passiria_Osservatore";"S_Pancrazio_Osservatore";"S_Valentino_alla_Muta_Osservatore";"S_Valpurga_d_Ultimo_Osservatore";"S_Vito_di_Braies_Osservatore";"San_Candido_Osservatore";"San_martino_di_castrozza";"San_Martino_Osservatore";"Scena_Osservatore";"Sesto_Osservatore";"Silandro_Convento_Osservatore";"Slingia_Osservatore";"Terento_Osservatore";"Terme_di_Brennero_Osservatore";"Tremalzo";"Trento_citta_";"Trento_Gardolo";"Trento_Sud";"Val_noana_diga";"Vallarsa_pian_fugazze";"Valles_osservatore";"Valluzza_Osservatore";"Vanga_Osservatore";"Vermiglio";"Vigo_di_fassa_ciampedie";"Villa_welsperg";"Vipiteno_osservatore"
"1990-1991";-0.7;2.7;2;0;3.6;-3.4;5.9;0.5;-0.1;6.1;-2.8;-2.3;-3.6;3.6;-0.8;-1.8;3.4;1.2;-1.5;-2.4;-3.6;0.7;0.1;2.1;1.4;2.9;3.6;1.2;1.2;-1.3;-1.3;3.7;0.8;-3.2;-0.5;0.2;-5;1.5;-0.1;-2.6;1.7;5.7;1.4;-1.7;-1.7;0.3;NA;2.3;0.5;-2.3;2;1.7;-0.1;2;6.4;1.8;0.9;6.2;0.8;-0.8;-1;-2.4;-2.8;-0.6;0.2;0.4;2.3;-3.4;-2.1;-2.5;1.9;-1.8;NA;-2.1;-0.4;-1.4;2.3;0.6;2.9;-0.7;-6.4;1.6;1.3;0.1;0.6;4.9;-1.2;7.1;-1.9;6.3;2.4;-0.9;1.8;4.2;-0.8;4.4;3.2;0.1;2.2;-0.6;0;0.5;0.5;4.2;-0.4;3.8;-1.1;0.3;0.7;0;6.5;6.4;6.5;2.8;2.7;0.7;0.8;3.1;1.7;-2.5;2.6;2.3
"1991-1992";-0.1;3.2;2.6;0.4;4.2;-2.9;6.2;1.1;0.3;6.4;-2.3;-1.6;-3.1;3.9;-0.2;-1.4;3.9;1.8;-1.1;-1.7;-3.2;1.1;0.4;2.6;1.6;3.4;4.2;1.4;1.8;-0.6;-0.9;4.4;1.4;-2.5;0.3;0.6;-4.5;2.1;0.7;-2.2;2.5;6.1;2;-0.3;-1.4;0.5;NA;2.7;1;-2.1;2.5;1.9;0.4;2.5;6.7;2.4;1.4;6.6;1.8;-0.2;-0.5;-1.9;-2.3;0.1;0.4;0.8;2.8;-2.9;-1.7;-2;2;-1;NA;-1.3;0;-0.8;2.7;1.1;3.6;-0.2;-5.7;2.1;1.7;0.6;0.9;5.3;0;7.6;-1.7;6.7;2.8;-0.2;2.3;4.6;-0.3;4.8;3.7;0.5;2.7;-0.1;0.6;0.8;0.9;4.6;0.3;4.3;-0.7;0.9;0.8;0.7;6.8;6.7;6.9;3.5;2.9;1.5;1.7;3.5;2.5;-2;3.3;2.6
"1992-1993";0.1;3.4;2.5;0.8;4.6;-2.5;6.4;1.2;0.6;6.7;-2;-1.5;-2.8;4;0.1;-1.2;4;1.9;-0.8;-1.3;-2.8;1.3;0.8;2.7;1.6;3.5;4.4;1.8;2;-0.4;-0.6;4.6;1.8;-2.4;0.5;0.8;-4.1;2.4;0.7;-2;2.6;6.3;2.1;0.2;-1.2;0.6;NA;2.9;1.4;-1.7;2.7;2.4;0.5;2.8;7;2.7;1.6;6.7;2.2;0.1;-0.3;-1.7;-2.1;0.1;0.6;0.9;3.3;-2.6;-1.5;-1.7;2.1;-0.7;NA;-1.1;0.1;-0.6;2.9;1.4;3.8;0;-5.3;2.2;1.9;0.7;1.2;5.4;0.7;7.9;-1.3;7;3;0;2.5;4.7;0.1;5;3.8;0.9;2.8;0.1;1;0.9;1.2;4.8;0.8;4.4;-0.3;1.2;1.3;1.1;7;6.9;7.1;3.6;2.9;1.8;2.1;3.7;2.7;-1.6;3.4;2.9
"1993-1994";-0.2;3.4;2.3;1;4.8;-2.7;6.8;1.4;0.9;7;-2.2;-1.9;-3;3.8;-0.2;-1.6;4.1;2;-1.2;-1.3;-3;1.5;0.8;2.9;1.7;3.6;4.5;2;2;-0.8;-0.9;4.8;1.8;-2.9;0.2;0.3;-4.5;2.7;0.5;-2.3;2.7;6.5;2;0;-1.6;0.7;NA;2.3;1;-1.8;2.7;2.7;0.6;2.5;7.3;2.6;1.4;6.9;2.2;-0.2;-0.4;-1.8;-2.3;0.1;0.3;0.6;3.4;-2.8;-1.9;-2.1;2.2;-1.1;NA;-1.5;0.3;-0.9;3;1.3;3.6;-0.1;-5.7;2;2;0.5;1.3;5.7;0.6;8.3;-1.3;7.4;3.1;-0.3;2.5;4.9;0.4;5.2;4;0.7;3;0.4;1.4;0.5;1.3;5;1;4.5;-0.6;1.2;1.4;0.9;7.2;7.1;7.3;2.8;3.1;1.7;2.2;3.8;2.4;-1.8;2.6;3.1
"1994-1995";0.3;3.7;2.8;1.4;5;-2.2;6.8;1.7;1.2;7.1;-1.7;-1.3;-2.5;4.1;-0.1;-1.1;4.4;2.3;-0.5;-0.8;-2.5;1.9;1.1;3.4;2.1;3.9;4.6;2.2;2.4;-0.3;-0.4;5.1;2.1;-2.3;0.7;0.6;-3.9;3;1;-1.8;3;6.7;2.3;0.5;-1.1;1.1;NA;2.5;1.5;-1.4;3.1;2.9;1;3;7.5;2.9;2;7;2.6;0.2;0.1;-1.3;-1.7;0.4;0.8;1;3.7;-2.2;-1.4;-1.5;2.5;-0.2;NA;-0.7;0.7;-0.3;3.2;1.7;4;0.3;-4.8;2.4;2.3;1.3;1.6;5.8;1;8.5;-1.1;7.6;3.5;0.3;3;5.1;1;5.4;4.4;1;3.4;0.7;1.8;0.9;1.9;5.2;1.4;4.8;-0.1;1.5;1.5;1.5;7.4;7.3;7.5;2.9;3.4;2.1;2.6;4.1;3.1;-1.4;2.8;3.3
"1995-1996";-0.1;3.4;2.5;0.8;4.7;-2.8;6.6;1.3;0.6;6.9;-2.3;-2;-3.1;3.6;-0.6;-1.7;4.1;1.8;-1;-1.4;-3;1.3;0.4;2.8;1.4;3.6;4.2;1.4;1.8;-0.9;-0.8;4.8;1.5;-2.9;0.4;0.1;-4.4;2.8;0.8;-2.3;2.7;6.4;1.8;-0.4;-1.6;0.5;NA;2;0.9;-2;2.6;2.4;0.6;2.3;7.2;2.2;1.4;6.9;2.1;-0.2;-0.5;-1.9;-2.3;-0.1;0.3;0.5;3.3;-2.8;-1.9;-2.1;1.9;-1;NA;-1.4;-0.2;-1;2.8;1.1;3.4;-0.2;-5.6;1.9;1.7;0.9;0.9;5.5;0.4;8.2;-1.6;7.2;3;-0.1;2.4;4.7;0.3;5;3.9;0.4;2.9;0.1;1;0.5;1.3;4.8;0.6;4.3;-0.8;1;0.9;1;7.2;7.1;7.3;2.3;2.7;1.4;2.2;3.7;2.4;-2.1;2.2;2.6
"1996-1997";0.8;4;3.2;1.4;5.3;-1.9;6.9;2;1.4;7.2;-1.4;-1.1;-2.2;4.6;-0.1;-0.7;4.7;2.3;-0.4;-0.9;-2.3;2.2;0.9;3.4;2.3;4.2;4.8;1.6;2.7;0;-0.2;5.1;2;-2;1.2;1;-3.8;3.2;1.5;-1.3;3.4;6.8;2.7;0.7;-0.6;1.4;NA;2.8;1.7;-1.5;3;2.9;1.3;3;7.9;3;2.2;7.3;2.7;0.5;0.4;-1;-1.4;0.7;1.4;1.5;3.9;-1.9;-0.9;-1.1;2.8;-0.3;NA;-0.7;0.5;-0.1;3.2;2;4.2;0.7;-4.9;2.7;2.2;1.7;1.3;5.9;1.2;8.8;-1;8;3.7;0.7;2.9;5.2;0.8;5.4;4.4;1;3.4;0.9;1.7;1.5;1.9;5.2;1.3;5.2;-0.2;1.6;1.4;1.6;7.8;7.7;7.9;3.1;3.6;2;2.7;4.2;3.2;-1.1;3;3
"1997-1998";1.1;4;3.1;1.7;5.2;-1.8;7.2;2.1;1.7;7.3;-1.3;-1;-2.1;4.5;0.1;-0.6;4.6;2.6;0;-0.6;-2;2.5;1.2;3.6;2.3;4.1;5;2;2.6;0.1;0.2;5.5;2.3;-1.8;1.3;1;-3.4;3.4;1.6;-1.2;3.6;7;2.7;0.6;-0.5;1.4;NA;2.8;2;-0.8;3.3;3.2;1.3;3.3;8;3;2.2;7.3;2.7;0.5;0.4;-1.1;-1.4;0.8;1.5;1.3;3.7;-1.8;-0.7;-1;2.8;0;NA;-0.4;0.9;-0.1;3.4;2;4.5;0.7;-4.5;2.8;2.4;1.6;1.6;6.2;1.1;8.9;-0.5;8;3.9;0.8;3.2;5.3;1.2;5.6;4.6;1.5;3.7;1.2;1.9;1.5;2.3;5.5;1.3;5.3;0.2;1.8;1.6;1.5;7.7;7.6;7.8;3;3.6;2.2;2.8;4.5;3.4;-1.2;3;3.3
"1998-1999";-0.3;2.8;1.7;0.5;4.3;-3.2;5.9;1.1;0.4;6.2;-2.7;-2.5;-3.5;3.4;-1;-1.9;3.4;1.2;-1.9;-1.9;-3.8;1.2;-0.2;2.5;1.2;2.9;3.5;0.7;1.5;-1.4;-1.8;4.1;0.9;-3.4;-0.1;-0.1;-5.4;2.1;0.3;-2.6;2.3;5.8;1.4;-0.5;-1.8;0.3;NA;1.8;0.7;-2.2;2.3;2.1;0.3;2;6.9;1.5;0.8;6.1;1.5;-0.7;-1.1;-2.5;-2.8;-0.5;0.2;0.4;2.8;-3.2;-2.1;-2.5;1.8;-1.5;NA;-2;-0.4;-1.5;2.4;0.6;3.1;-0.7;-6.2;1.3;1.2;0.1;0.4;5;0;7.9;-2.1;7;2.6;-0.6;1.9;4.2;-0.2;4.4;3.6;0;2.6;-0.1;0.3;0.3;1.1;4.3;-0.2;4.2;-1.2;0.5;0.2;0.6;6.6;6.5;6.8;2.2;2.4;0.8;1.5;3.2;1.9;-2.5;2;2.1
"1999-2000";0.3;3.5;2.2;0.9;4.8;-2.6;6.5;1.7;1.1;7;-2;-1.7;-2.8;4.1;0.2;-1.1;4;1.8;-1.1;-1.4;-3.1;1.8;0.3;3.1;1.8;3.4;4.2;1;2;-0.6;-1;4.5;1.5;-2.6;0.3;0.6;-4.6;2.5;0.7;-1.8;2.7;6.1;2.1;0.2;-1;0.9;NA;2.5;1.2;-1.6;2.8;2.4;0.9;2.4;7.3;2.3;1.5;6.9;1.9;0;-0.4;-1.8;-2.2;0.3;1;1.3;3.4;-2.6;-1.3;-1.7;2.4;-0.5;NA;-1.1;-0.1;-0.7;2.8;1.4;3.7;0;-5.3;2;1.5;0.7;0.7;5.3;0.7;8.2;-1.7;7.4;3.3;-0.1;2.5;4.5;0.4;4.8;4.1;0.5;3.2;0.6;1;1;1.5;4.6;0.4;4.8;-0.8;1;0.7;1.1;7.2;7.1;7.3;2.9;3.1;1.4;1.9;3.8;2.7;-1.8;2.7;2.4
"2000-2001";-0.1;3.8;2.8;1.4;5.4;-2.4;7.1;2;1.7;7.6;-1.7;-1.8;-2.6;4.6;0.2;-1;4.4;2.2;-1.1;-0.9;-2.8;2.4;0.8;3.4;2.2;3.9;4.7;1.6;2.3;-0.7;-0.8;4.9;1.8;-2.7;0.7;1.1;-4.5;2.9;1.1;-1.5;3.1;6.6;2.6;0.3;-0.8;1.2;NA;3.2;0.9;-1.4;3.2;3.2;1.2;2.3;8;2.8;1.7;7.6;2.3;0.2;0.1;-1.3;-1.7;0.6;1.1;1.4;3.8;-2.5;-1.2;-1.6;2.8;-0.7;NA;-1.3;0.8;-0.6;3;1.8;3.7;0.5;-5.2;2.3;2.1;1;1.2;5.7;0.9;9;-1.3;8;3.5;0.1;2.9;4.8;1;5;4.5;0.5;3.5;1.2;1.7;1.3;2.1;5.1;1;5;-0.8;1.4;1.3;1.8;7.7;7.7;7.8;3.8;3.4;1.7;2.2;4.2;2.6;-1.3;3.6;3.1
